HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
1.179,0.107376,0.513985,0.08794099999999999,0.048138,1590.5,1665.5,791.0,1522.0,0.016921000000000002
0.289,0.021301,0.236211,0.221417,0.12245,1583.3,1664.2,666.0,1304.0,0.14400000000000002
0.579,0.07926,0.7400680000000001,0.069833,0.034953,1547.8,1678.1,760.0,2212.0,0.012849
0.609,0.022768,0.28495,0.11384,0.062296,1610.8,1672.2,793.0,1154.0,0.013659
0.483,0.013059,0.30147,0.126079,0.05176,1541.9,1624.5,676.0,1566.0,0.008768999999999999
0.5670000000000001,0.016012000000000002,0.7235229999999999,0.113765,0.048589,1530.6,1634.3,476.0,2116.0,0.008876
0.214,0.06694800000000001,0.350183,0.126894,0.035662,1546.2,1661.2,847.0,1749.0,0.012813
0.416,0.049355,0.224484,0.166027,0.08878,1618.3,1668.4,482.0,994.0,0.026453
0.38,0.068126,0.275954,0.194651,0.070391,1643.8,1675.1,947.0,1541.0,0.025726
0.616,0.031819,0.608452,0.144205,0.083239,1595.8,1631.6,382.0,815.0,0.007996
0.371,0.025895,0.563883,0.091493,0.046173,1536.7,1648.9,754.0,1856.0,0.010693
0.314,0.032255,0.648366,0.170057,0.069148,1521.7,1640.6,597.0,2091.0,0.012456
0.502,0.008551999999999999,0.273162,0.124116,0.070387,1559.3,1627.9,456.0,1518.0,0.008438
0.4320000000000001,0.100174,0.539085,0.152706,0.093671,1591.2,1690.9,966.0,1572.0,0.037345
0.6940000000000001,0.060952,0.352814,0.049901,0.030279,1608.9,1682.5,729.0,1518.0,0.014609
0.255,0.029387,0.202569,0.153629,0.076076,1599.8,1645.2,465.0,925.0,0.01281
0.37,0.026469,0.487884,0.081673,0.03769,1556.7,1626.6,504.0,1730.0,0.007338
0.298,0.08048200000000001,0.645299,0.102768,0.045346,1534.7,1661.5,1023.0,2445.0,0.022219
0.177,0.041171,0.422132,0.226807,0.096662,1581.2,1646.3,529.0,1584.0,0.014799
0.795,0.068008,0.630667,0.064341,0.048456,1578.1,1662.8,411.0,1839.0,0.014261
0.517,0.094701,0.6707850000000001,0.094573,0.078599,1550.3,1642.3,681.0,1474.0,0.029943
0.602,0.043513,0.1581,0.135259,0.07245499999999999,1654.3,1647.2,537.0,726.0,0.018552000000000003
